FOODID;FOODNAME_y;CA;CAROTENS;FE;FIBC;FOL;JODI;K;MG;NIAEQ;P;RIBF;SE;THIA;VITA;VITB12;VITC;VITD;VITE;VITK;VITPYRID;ZN;Calsium;Carotenoids;Iron;Fiber;Folate;Iodine;Kalium;Magnesium;Niacin;Phosphorus;Riboflavin;Selenium;Thiamin;Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Vitamin B6;Zinc
334;NETTLE, STINGING NETTLE;430;5442;3,5;6,6;194;1;660;87;1,401;140;0,15;10;0,2;100,181;0;64,4;0;1,64;270;0,27;1,5;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0
335;ONION;33;23,1;0,5;1,7;13,5;1;220;11;0,4;40;0,02;0,5;0,03;0,57;0;10,2;0;0,04;0,7;0,13;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
336;ONION, DRIED;216;165;3,27;35;166;0;1440;72;2,9;262;0,15;3,571;0,23;4,091;0;40;0;0,286;5;1,94;2,618;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0
337;LEEK;32;2935,4;0,6;2,1;56;1;320;15;0,901;50;0,02;0,4;0,15;83,37;0;25;0;0,34;54;0,25;0,4;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
338;RHUBARB;75;235;0,1;1,4;7;1;320;9;0,484;17;0,03;0,2;0,01;5,05;0;5;0;0,25;4;0,04;0,2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339;CELERY;45;10096;0,29;1;16;0;150;15;0,684;37;0,04;0,4;0,03;243,49;0;6;0;0,27;12;0,09;0,18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
340;ASPARAGUS, CANNED;14;32;0,3;1,5;96;4;130;9;1,305;30;0,17;1;0,16;2,656;0;33;0;0,3;0;0,17;0,4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
342;MUSHROOM, BOLETUS, RUSSULA;5;0;2,7;1,9;25,5;1;340;9;7,229;72;0,4;14,1;0,1;0;0;5;4,36;0;0,02;0,22;0,65;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0
345;CHAMPIGNON;1,9;0;0,37;1,5;35;1;364;10;6,051;98;0,42;11;0,1;0;0,06;1,3;0,21;0;0,3;0,18;0,51;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
346;CUCUMBER;14,7;612,3;0,18;0,7;9,65;1;221,8;8,77;0,367;29,3;0,09;0,5;0,04;11,25;0;8;0;0,04;15;0,04;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;PUMPKIN;25;7260;0,27;2;22;1;243;11,2;0,35;19;0,09;0;0,04;367,69;0;8;0;1,06;1,1;0,05;0,04;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
352;TOMATO;8,64;4106,2;0,19;1,4;11,57;1;237,1;8,27;0,85;25,9;0,04;0,5;0,06;66,76;0;14,1;0;0,66;5;0,08;0,09;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
359;CHINESE CABBAGE;33;55,4;0,27;1,1;52,06;0;290;9,6;0,6;36;0,04;10;0,03;1,26;0;15,5;0;0,24;80;0,14;0,19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;SWISS CHARD;88;3692;1,3;1,4;30;1;470;59;0,4;30;0,16;0,9;0,1;304,568;0;39;0;1,89;830;0,27;0,9;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
362;AUBERGINE;7;31;0,27;2,5;18;0;217;14;0,9;22;0,03;0;0,04;2,573;0;5;0;0,09;6;0,1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
363;SWEET CORN KERNELS;2;849,1;0,52;3,7;41;0;270;37;2,651;89;0,08;0,4;0,15;6,95;0;12;0;0,08;0,3;0,22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
364;GARDEN CRESS;70;2600;1;3,3;30;0;150;40;1;35;0,19;0,9;0,15;215,8;0;59;0;0,7;250;0,1;0,7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
367;CHANTERELLE;3,6;1329,4;0,85;3,22;7,4;1;450;10;4,433;50;0,12;18;0,045;110,34;0;0,25;5,77;0;0,02;0,04;0,77;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
368;FALSE MOREL;3,6;0;0,85;3,22;21;1;450;0,14;4,433;50;0,12;39;0,045;0;0;0,25;5,77;0;0;0,22;0,73;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0
369;DILL;208;11231,8;6,59;2,1;36;3,9;738;55;1,804;66;0,296;2,7;0,058;374,92;0;85;0;1,59;280;0,3;0,91;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0
370;PEA;31;2134,8;2;3,1;58,97;1;370;40;3,385;130;0,046;0,6;0,25;31,13;0;20;0;0,03;28;0,16;1,3;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
372;GREEN BEAN, STRING BEAN;48;657,2;0,7;2,4;80;1;320;22;1,151;40;0,057;2,5;0,11;16,23;0;20;0;0,13;47;0,1;0,4;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
375;HAZELNUT;138;106;3,6;17,5;72;5;650;157;4,607;310;0,13;2;0,45;1,04;0;0;0;15,03;14,2;0,4;2;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0
376;WALNUT;140;21;3,6;6,7;66;5;650;160;4,507;310;0,13;19;0,5;1;0;3;0;0,7;13;0,73;2;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0
377;CHESTNUT;140;18;3,6;6,8;62;5;650;33;1,001;310;0,22;0;0,26;1,49;0;30;0;0,5;0;0,33;2;1;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0
378;PEANUT;78;15,9;2,9;8,5;110;5;670;180;17,975;330;0,12;3;0,9;0,17;0;0;0;10,89;0,3;0,13;3,1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0
379;ALMOND;276;4;5,2;12,5;48;5;740;278;7,958;490;0,7;4;0,25;0,25;0;0,5;0;26,44;0,3;0,06;3,3;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0
382;COCONUT FLAKE;20;0;3;16,3;9;2;600;70;1,619;150;0,03;1;0,04;0;0;0;0;1,21;0;0,04;0,9;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
384;BEANSPROUTS AND ALFALFA SPROUTS;20;38;1,6;1,5;48,5;0;79;27;1,118;62;0,19;1;0,2;3,15;0;32,1;0;0,06;147;0,06;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
386;SWEET PEPPER, RED;9;6196,2;0,6;1,9;55,86;1;290;14;1,5;30;0,12;0,2;0,04;243,81;0;184,8;0;2,16;4,6;0,45;0,1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
387;SWEET PEPPER, GREEN;8;4192,7;0,4;1,9;55,86;1;120;10;0,3;19;0,01;0;0,01;20,73;0;120;0;2,16;9,4;0,27;0,1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
388;SWEET PEPPER, YELLOW;8;4299,4;0,4;2;55,86;1;220;16;0,9;26;0,02;0,2;0,01;18,77;0;204,9;0;2,16;2,36;0,54;0,1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
389;ZUCCHINI, SUMMER SQUASH;15;612;0,8;0,7;52;1;360;22;0,367;45;0,02;0,5;0,12;3,32;0;21;0;0,04;3;0,1;0,3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
391;SOYA BEANS;163;13;8,4;15,7;370;6;1730;225;9,715;467;0,31;19;1,1;1,079;0;0;0;0,85;47;0,46;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0
392;CHIVES;78;2935;0,4;2,7;105;1;400;18;1,284;49;0,2;10;0,07;216,796;0;41;0;0,21;212,7;0,22;0,13;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
393;GARLIC;18;21,2;1,5;2,1;4;2,7;620;8;2,204;153;0,03;2;0,13;0,415;0;17;0;0,08;1,7;1,24;0,9;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
395;WHITE BEAN;81,66;555;1,89;7;117,31;0;365;48,91;2,37;147,9;0,05;0,39;0,12;39,96;0;0;0;0,129;27;0,18;0,81;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
399;LENTILS, GREEN/BROWN;71;23;11,1;8,9;110;0;940;110;5,891;350;0,27;11;0,41;1,91;0;0;0;0,49;22;0,56;3,9;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0
