FOODID,FOODNAME_y,FOODTYPE,PROCESS,EDPORT,IGCLASS,IGCLASSP,CA,CAROTENS,FE,FIBC,FOL,ID,K,MG,NACL,NATRIUM,NIA,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN
153,"OATS, ROLLED, OAT FLAKES",FOOD,RAW,100,OAT,CERTOT,47.0,177.0,4.7,10.0,43.6,20.0,414.0,142.0,2.55,1.0,0.8,4.307,471.0,0.09,12.0,0.33,0.0,0.0,0.0,0.0,0.85,2.1,0.13,3.6
154,"FLOUR MIXTURE, TALKKUNA POWDER, ROASTED BARLEY, RYE, OAT, PEA",FOOD,RAW,100,CEROTH,CERTOT,53.0,111.3,7.0,9.9,35.0,170.0,380.0,114.0,917.28,360.0,5.5,7.504,360.0,0.19,8.6,0.5,0.36,0.0,0.0,0.0,0.3,2.2,0.21,3.5
156,"RICE, WHITE",FOOD,RAW,100,RICE,CERTOT,6.0,0.0,1.2,2.3,20.0,5.0,130.0,34.0,15.29,6.0,1.4,2.836,110.0,0.03,15.0,0.05,0.0,0.0,0.0,0.0,0.04,0.16,0.08,1.3
158,"RICE, WHOLEGRAIN",FOOD,RAW,100,RICE,CERTOT,11.0,0.0,3.6,7.4,23.0,5.0,260.0,110.0,15.29,6.0,4.308,5.911,250.0,0.03,23.0,0.05,0.0,0.0,0.0,0.0,0.63,0.8,0.61,1.6
160,"FLOUR, MILLET, WHOLE OR CRUSHED GRAINS",FOOD,RAW,100,CEROTH,CERTOT,9.0,0.0,4.8,3.2,24.0,5.0,220.0,103.0,7.64,3.0,1.6,3.587,240.0,0.14,2.0,0.26,0.0,0.0,0.0,0.0,0.06,0.9,0.75,3.4
161,"FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS",FOOD,RAW,100,CEROTH,CERTOT,18.0,0.0,3.8,5.8,35.0,5.0,460.0,178.0,5.1,2.0,2.8,5.856,320.0,0.16,5.0,0.6,0.0,0.0,0.0,0.0,0.22,6.8,0.4,2.5
162,"FLOUR, POTATO STARCH, POTATO FLOUR",FOOD,RAW,100,STARCH,CERTOT,18.0,0.0,0.6,1.4,25.0,30.0,60.0,8.0,9.43,3.7,0.1,0.15,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2
167,"MAIZE, KERNEL, DRIED, UNPOPPED",FOOD,DRIE,100,CEROTH,CERTOT,0.4,4245.5,1.5,9.2,20.0,5.0,270.0,72.0,2.55,1.0,1.6,3.019,170.0,0.28,2.0,0.53,34.736,0.0,0.0,0.0,0.4,1.5,1.1,1.4
168,MALT FOR BEER,FOOD,DRIE,100,RYE,CERTOT,38.0,0.0,6.9,14.3,7.4,5.0,410.0,14.0,16.56,6.5,0.0,0.0,390.0,0.34,,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.42,3.8
170,OAT BRAN,FOOD,RAW,100,OAT,CERTOT,85.0,177.0,8.0,17.5,51.0,20.0,638.0,230.0,2.55,1.0,0.8,6.394,718.0,0.17,13.0,1.0,0.0,0.0,0.0,0.0,0.85,2.1,0.17,5.0
172,"SPAGHETTI SPINACH, CONTAINS EGG",FOOD,RAW,100,WHEAT,CERTOT,25.3,262.8,0.982,3.35,26.54,14.3,148.98,24.843,48.17,18.91,0.711,2.914,121.4,0.102,12.986,0.0806,47.65,0.0,1.14,0.35,0.615,6.014,0.1,0.833
173,"OAT MACARONI, CONTAINS WHEAT AND OATS",FOOD,RAW,100,WHEAT,CERTOT,30.2,189.1,2.92,5.82,25.68,14.0,272.8,76.6,2.55,1.0,0.86,3.565,271.8,0.066,9.044,0.18,0.21,0.0,0.0,0.0,0.574,1.44,0.11,2.12
175,"WHEAT GRAIN, CRUSHED",FOOD,RAW,100,WHEAT,CERTOT,32.0,224.1,3.9,9.9,45.0,5.0,417.0,121.0,2.55,1.0,5.0,7.672,347.0,0.15,7.6,0.4,0.36,0.0,0.0,0.0,1.0,2.6,0.11,3.0
176,"RYE GRAIN, CRUSHED",FOOD,RAW,100,RYE,CERTOT,34.0,219.7,3.0,18.1,40.0,5.0,450.0,103.0,2.55,1.0,0.2,2.151,298.0,0.1,4.9,0.28,0.54,0.0,0.0,0.0,1.02,5.9,0.28,2.7
182,"FLOUR, RICE FLOUR, RICE FLAKE",FOOD,RAW,100,RICE,CERTOT,6.0,0.0,1.2,1.0,7.0,5.0,130.0,34.0,15.29,6.0,1.9,3.436,110.0,0.01,15.0,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.08,1.3
183,"FLOUR, RICE FLOUR, WHOLE GRAIN",FOOD,RAW,100,RICE,CERTOT,11.0,0.0,3.6,7.4,19.0,5.0,260.0,110.0,15.29,6.0,4.308,5.911,250.0,0.03,23.0,0.05,0.0,0.0,0.0,0.0,0.63,0.8,0.61,1.6
185,"FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH",FOOD,MIX,100,CEROTH,CERTOT,220.0,455.6,6.5,1.25,15.08,16.4,184.3,27.542,127.4,50.0,4.0,5.331,190.0,0.4,9.713,0.4,3.513,0.0,0.33,0.0,0.062,0.111,0.42,0.93
189,"FLOUR MIXTURE, RYE, WHEAT",FOOD,MIX,100,RYE,CERTOT,26.0,112.0,2.1,8.7,28.0,7.5,300.0,63.0,2.55,1.0,0.55,2.554,214.0,0.105,7.5,0.195,0.45,0.0,0.0,0.0,0.705,3.45,0.14,1.85
202,"POTATO, DRIED",FOOD,DRIE,100,POTAPROD,POTATOT,26.0,339.5,3.0,7.3,58.0,0.0,2150.0,103.2,226.52,88.9,1.4,3.6,172.0,0.1,6.7,0.25,3.195,0.0,26.0,0.0,0.25,5.2,0.6,1.29
204,"POTATO, NEW",FOOD,RAW,100,POTATO,POTATOT,4.7,16.7,0.63,1.0,10.0,1.0,470.0,20.0,2.55,1.0,0.6,0.917,54.0,0.03,0.637,0.21,0.27,0.0,13.0,0.0,0.05,1.04,0.53,0.33
205,"POTATO, PEELED",FOOD,RAW,100,POTATO,POTATOT,5.6,67.9,0.67,1.0,23.17,1.0,500.0,24.0,2.55,1.0,0.6,0.917,45.0,0.03,0.637,0.21,0.64,0.0,10.0,0.0,0.05,1.04,0.12,0.31
206,MASHED POTATO POWDER,FOOD,DRIE,100,POTAPROD,POTATOT,132.72,267.2,2.796,6.716,13.0,12.0,2114.8,105.024,2063.88,810.0,1.36,4.092,236.6,0.266,7.764,0.2572,2.96,0.0,25.0,0.0,0.196,4.792,1.04,1.566
207,"FRENCH FRIES, FROZEN",FOOD,FROZ,100,POTAPROD,POTATOT,6.25,63.9,0.639,0.94,15.42,0.94,471.17,22.704,2.4,0.94,0.564,1.516,43.6,0.028,0.599,0.1974,0.61,0.0,4.0,0.0,1.367,8.946,0.11,0.295
